subindicator_id,type,period,indicator_type
JY4UIeCYK00,Numerator,monthly,indicator
qYpFbVo8WsL,Denominator,monthly,indicator
ZpgnTGpSkeg.Ti9FJqkSK6J,Numerator,monthly,indicator
TmeumlBaObG,Denominator,yearly,indicator
n5bZeD7f63Q,Numerator,monthly,indicator
VGmj8dWOIBw,Denominator,monthly,indicator
kuz5MYYLyi2,Numerator,monthly,indicator
aknlXIekL1Z,Denominator,monthly,indicator
GJKYhq2wR9L,Numerator,monthly,indicator
t03VPkJ5UXd,Denominator,yearly,indicator
B2A7x36qEry.Ti9FJqkSK6J,Numerator,monthly,indicator
GXgfTS67qxe.Ti9FJqkSK6J,Denominator,yearly,indicator
m7ggqyMXhyL,Numerator,monthly,indicator
